Class,I0,PA500,HFS,DA,Area,A/DA,Max IP,DR,P
car,524.7941,0.187448,0.032114,228.8002,6843.598,29.9108,60.20488,220.7372,556.8283
car,330,0.226893,0.26529,121.1542,3163.239,26.1092,69.71736,99.08496,400.2258
car,551.8793,0.232478,0.06353,264.8049,11888.39,44.8949,77.7933,253.7853,656.7694
car,380,0.240855,0.286234,137.6401,5402.171,39.24852,88.75845,105.1986,493.7018
car,362.8313,0.200713,0.244346,124.9126,3290.462,26.34213,69.38939,103.8666,424.7965
car,389.873,0.150098,0.097738,118.6258,2475.557,20.86862,49.75715,107.6862,429.3858
car,290.4551,0.144164,0.053058,74.63507,1189.545,15.93815,35.70333,65.54132,330.2673
car,275.6774,0.153938,0.187797,91.52789,1756.235,19.18797,39.30518,82.65868,331.5883
car,470,0.213105,0.225497,184.5901,8185.361,44.34345,84.48248,164.1225,603.3157
car,423,0.219562,0.261799,172.3712,6108.106,35.43576,79.05635,153.1729,558.2745
car,410,0.317824,0.297404,255.8152,10622.55,41.5243,67.52321,246.7428,508.5404
fad,211,0.053931,0.094248,30.75344,151.9846,4.942034,14.26837,27.24312,217.1307
fad,196.8567,0.020071,0.090757,28.59313,82.05889,2.869882,7.968783,27.66152,200.7493
fad,245,0.189019,0.081681,62.90296,1235.983,19.64905,42.15202,46.69036,292.3762
fad,352.6564,0.121999,0.090757,68.52785,1066.158,15.55802,43.69193,52.79282,382.7332
fad,243.294,0.039968,0.067021,68.54478,383.9285,5.601134,9.991348,67.81666,263.6408
fad,259.8851,0.070686,0.006981,58.24381,465.0873,7.98518,17.50684,56.34024,267.5174
fad,250,0.068068,-0.01536,57.17243,652.9013,11.41986,17.77698,55.79127,278.3086
fad,200,0.037699,0.117286,42.31668,220.8109,5.218059,10.67576,40.94788,218.0343
mas,178,0.170868,0.21293,41.54217,489.4405,11.78178,35.7478,21.16239,215.9059
mas,195,0.139103,0.205251,37.4622,328.3841,8.765745,35.02383,13.29465,232.5876
mas,435.0932,0.076969,0.161268,123.5975,1342.278,10.86007,37.38472,117.808,433.2023
mas,250,0.047124,0.013963,70.90704,224.1458,3.161122,9.102176,70.3204,232.2776
mas,339.5085,0.045379,0.03002,88.62981,331.0804,3.735542,19.82558,87.62118,307.7932
mas,236,0.124617,0.20176,48.45113,236.8801,4.889052,36.00662,32.41967,244.9652
mas,481.4671,0.07854,0.016057,79.05916,1154.338,14.60094,33.92913,71.40844,501.8934
mas,252,0.106116,0.031416,38.54421,493.7904,12.81101,25.54115,28.86704,280.6583
mas,172.5158,0.127235,0.038397,37.54367,192.2181,5.119855,19.32208,32.18982,174.9338
gla,470.5164,0.127409,0.066323,150.224,2657.91,17.69298,47.56063,142.4965,491.4725
gla,223,0.124093,0.079587,33.09633,197.0125,5.9527,30.45487,12.95639,252.4833
gla,152,0.165806,0.227591,34.21955,94.35433,2.757322,31.27928,13.87748,180.6096
gla,303,0.063355,0.039794,22.56789,102.5003,4.541864,21.83084,5.720501,321.6468
gla,250,0.087092,0.092852,29.63751,180.7612,6.09907,26.1421,13.96326,280.1229
gla,197,0.132645,0.074002,33.46065,409.6471,12.24265,26.99281,19.77381,231.7838
gla,197,0.132645,0.074002,33.46065,409.6471,12.24265,26.99281,19.77381,231.7838
gla,216.4133,0.11781,0.068417,53.5996,280.4455,5.232231,22.79053,48.51297,215.3729
con,1724.09,0.052709,-0.02094,404.1262,3053.967,7.556963,71.42759,399.1942,1489.387
con,1385.665,0.092328,0.089361,202.48,8785.029,43.38713,143.0922,143.2578,1524.609
con,1084.247,0.073478,0,191.898,2937.972,15.31007,66.56363,179.9836,1064.104
con,649.3694,0.107512,0.01885,207.1117,3344.433,16.14797,50.54747,200.8487,623.9088
con,1500,0.056549,0.050265,375.0966,4759.455,12.68861,78.44598,366.802,1336.159
con,770,0.041628,0.002435,175.0197,346.0913,1.977442,25.22233,173.1927,654.7984
con,650,0.041015,0.145211,216.8113,427.5341,1.971918,33.76516,214.166,528.6992
adi,2100,0.061959,-0.04538,390.4825,16640.72,42.6158,125.9004,380.6447,2073.029
adi,1800,0.034208,0.042586,301.0604,4406.154,14.63545,67.62533,293.3669,1742.376
adi,2100,0.121649,0.377689,450.5517,35671.61,79.17318,436.0996,113.1986,2461.45
adi,1666.149,0.012392,0.058451,72.93105,1402.232,19.22681,51.85477,58.59576,1746.578
adi,1700,0.043982,0.105127,120.653,12331.1,102.203,120.2973,-9.2577,2212.178
adi,1949.118,0.051798,0.016501,170.3315,3212.077,18.8578,101.4558,136.8193,1941.367
adi,1850,0.079149,0.06947,253.6215,13113.2,51.70384,160.0655,196.7305,1916.985
adi,2350,0.081507,0.271573,515.2895,27758.64,53.86999,289.5691,426.2312,2457.677
adi,1800,0.091979,0.205251,362.8633,15021.55,41.39728,217.834,290.2036,1893.664
adi,1900,0.054454,0.113795,272.618,7481.593,27.4435,138.3593,234.8985,1924.518
adi,1800,0.069115,0.15708,385.5647,13831.72,35.87394,157.57,351.8975,1823.032
